Date,Sales,Company,Score1,Score2,HeatFlux,Insolation,East,South,North,Time,EnergyConsumption,MachineSetting,RestingPulse,Smokes,Weight,Survival,Region,ToxicLevel,Subject,TeachingMethod,Age
,,,,,,,,,,,,,Low,No,125,2,2,31.5,,,
,,,,,,,,,,,,,Low,No,190,2,2,43.5,,,
,,,,,,,,,,,,,Low,No,155,2,2,40,,,
,,,,,,,,,,,,,Low,Yes,170,2,1,40.5,,,
,,,,,,,,,,,,,Low,No,155,2,2,60,,,
,,,,,,,,,,,,,Low,No,215,3,1,57.5,,,
,,,,,,,,,,,,,Low,Yes,150,2,1,48.75,,,
,,,,,,,,,,,,,Low,Yes,145,2,1,44.5,,,
,,,,,,,,,,,,,Low,No,155,1,1,49.5,,,
,,,,,,,,,,,,,Low,No,155,2,2,33.75,,,
,,,,,,,,,,,,,Low,No,150,2,1,43.5,,,
,,,,,,,,,,,,,Low,Yes,155,2,2,48,,,
,,,,,,,,,,,,,Low,No,150,3,1,34,,,
,,,,,,,,,,,,,High,Yes,180,1,1,50,,,
,,,,,,,,,,,,,Low,No,160,3,2,35,,,
,,,,,,,,,,,,,Low,No,135,1,1,49,,,
,,,,,,,,,,,,,Low,No,160,2,2,43.5,,,
,,,,,,,,,,,,,Low,Yes,130,3,2,37.25,,,
,,,,,,,,,,,,,Low,Yes,155,3,2,39,,,
,,,,,,,,,,,,,Low,Yes,150,3,1,34.5,,,
,,,,,,,,,,,,,Low,No,148,2,1,47.5,,,
,,,,,,,,,,,,,High,No,155,1,2,42,,,
,,,,,,,,,,,,,Low,No,150,2,2,45.5,,,
,,,,,,,,,,,,,High,Yes,140,2,2,38.5,,,
,,,,,,,,,,,,,Low,No,180,2,1,36.5,,,
,,,,,,,,,,,,,Low,Yes,190,2,2,37.5,,,
,,,,,,,,,,,,,High,No,145,3,1,38.5,,,
,,,,,,,,,,,,,High,Yes,150,2,2,47,,,
,,,,,,,,,,,,,Low,Yes,164,2,2,39.75,,,
,,,,,,,,,,,,,Low,No,140,1,1,60,,,
,,,,,,,,,,,,,Low,No,142,2,2,41,,,
,,,,,,,,,,,,,High,No,136,2,1,41,,,
,,,,,,,,,,,,,Low,No,123,3,1,30,,,
,,,,,,,,,,,,,Low,No,155,2,2,45,,,
,,,,,,,,,,,,,High,No,130,2,2,51,,,
,,,,,,,,,,,,,Low,No,120,2,2,35.25,,,
,,,,,,,,,,,,,Low,No,130,1,2,40.5,,,
,,,,,,,,,,,,,High,Yes,131,2,2,39.5,,,
,,,,,,,,,,,,,Low,No,120,3,2,36,,,
,,,,,,,,,,,,,Low,No,118,,,,,,
,,,,,,,,,,,,,Low,No,125,,,,,,
,,,,,,,,,,,,,High,Yes,135,,,,,,
,,,,,,,,,,,,,Low,No,125,,,,,,
,,,,,,,,,,,,,High,No,118,,,,,,
,,,,,,,,,,,,,Low,No,122,,,,,,
,,,,,,,,,,,,,Low,No,115,,,,,,
,,,,,,,,,,,,,Low,No,102,,,,,,
,,,,,,,,,,,,,Low,No,115,,,,,,
,,,,,,,,,,,,,Low,No,150,,,,,,
,,,,,,,,,,,,,Low,No,110,,,,,,
,,,,,,,,,,,,,High,No,116,,,,,,
,,,,,,,,,,,,,Low,Yes,108,,,,,,
,,,,,,,,,,,,,High,No,95,,,,,,
,,,,,,,,,,,,,High,Yes,125,,,,,,
,,,,,,,,,,,,,Low,No,133,,,,,,
,,,,,,,,,,,,,Low,No,110,,,,,,
,,,,,,,,,,,,,High,No,150,,,,,,
,,,,,,,,,,,,,Low,No,108,,,,,,
